,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,wt
64,1.0630759349,1.0241450275,0.8780558141,0.9357640027,0.9612853753,0.9939047569,1.0095950923,89.55,0
65,1.2127043217,1.1113463278,1.0675392258,1.0415852875,1.0637051213,1.0438071019,1.0420965015,81.35,0
66,-0.0074748653,-0.0318558377,1.0651797769,1.1191128472,1.0839767201,1.0631152591,1.0686796262,90.61,0
67,0.1745861133,0.0011764475,0.9974046062,1.1077678302,1.0760529041,1.0692105022,1.0579637956,91.85,0
68,-0.0278251124,-0.0236960768,1.1788265674,1.1001979315,1.0731429171,1.0838194235,1.0412510323,87.25,0
69,1.2062158371,1.0605198652,1.0822071334,1.0488799172,1.0202126126,1.0226703719,1.0150021628,86.34,0
70,1.0663791634,0.8984060612,0.8475795986,1.0179907981,0.978627325,0.9966574473,1.0048368703,82.98,0
71,1.0305352017,0.6979512118,0.7419352725,0.9349185335,0.9657879904,0.9814390017,1.0140190591,83.43,0
72,0.014261558,0.1814875015,1.1234778277,1.114826515,1.0648455216,1.0902095977,1.0618372242,90.73,0
73,0.1048498603,-0.0221030402,1.2318487403,1.1568691848,1.1339713547,1.1143643487,1.0339066549,87.1,0
74,0.1936627004,-0.0458974721,1.1268773626,1.085791325,1.0875254119,1.0737118328,1.0069100738,86.4,0
75,-0.00732389,-0.0469320126,1.1705645307,1.1456961472,1.0743029989,1.0542230601,0.9765241409,89.14,1
76,1.1489475603,1.0734359554,1.0465181964,0.982691973,1.0090776825,1.0071071291,0.9591241547,84.65,0
77,1.1414988686,1.0652384534,1.0838207716,0.9782582279,1.0399759592,1.0191275047,0.920915125,85.11,0
78,0.0249833324,-0.0117083712,1.2175228174,1.0224380343,1.0733768388,0.9907712417,0.9911062358,85.97,0
79,1.0602135423,1.0146543485,0.9916382852,1.0516613407,1.0377689395,1.0429712004,1.0031266113,84.89,0
80,1.1498737204,1.0889442104,1.024014477,1.0563906688,1.0317587517,0.9644052377,0.9397733207,73.68,0
81,1.0380054059,1.0852986866,1.0123882121,1.063524072,1.0243691766,0.9711642358,0.9579418227,71.16,0
82,0.8194316267,0.8953964589,0.9989293327,0.9730756725,0.9307087752,0.956069797,0.940857125,57.53,0
83,1.0482522834,1.0130187892,1.0051365758,1.0120926291,1.0223395066,0.9739624215,0.9414877021,65.41,0
84,0.0311117534,-0.0029394088,1.1197833705,1.063819655,0.9776670619,0.9901603702,1.02726589,79.64,0
