,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,Wildtype
22,-0.0204656897,0.3946951088,0.9919647815,0.9260077552,0.9201913394,0.9095890862,0.9644073938,57.54,0
23,0.0281427199,9.19178824655497E-005,0.6530456184,0.9606662526,0.9474381418,0.9083185099,0.9698426368,52.12,0
24,0.9993200064,1.0021717443,0.9697720492,0.9846660267,0.9517722186,0.9355370773,0.9888306934,80.11,0
25,0.0139489917,-0.0267502432,1.0641568603,0.9878886073,0.9829624331,0.973605617,0.9802078564,82.31,0
26,-0.0181877363,1.1059856174,0.8955592774,0.9806013673,0.9637241197,0.9721044456,0.9921589298,91.61,0
27,-0.0032124583,1.0793871917,0.6945480515,0.8864793765,0.8215937922,0.9799163668,0.9930188242,86.06,0
28,0.0310518259,0.0062686785,-0.0008746993,-0.0282805636,0.4753041512,0.9498492149,0.9936455268,59.66,0
29,1.0450642917,0.9921152064,0.9627184806,0.975063065,0.988398714,0.9780071099,0.9985571265,90.02,0
30,0.41397474,0.6936735827,0.9574279444,1.0189322493,0.9863291379,0.9659977385,0.9992858505,94.11,0
31,0.970326359,1.0167023539,0.9769285984,0.9709530617,0.9702826356,0.9954964857,0.9961523373,86.93,0
32,-0.0032488945,-0.0182606087,0.7428187287,1.0046492591,0.9832976461,0.8308485869,0.9663183771,53.12,0
33,0.1523336779,0.7655986407,1.0521620634,0.9805284949,0.9827438159,0.9757189166,0.9862562655,86.16,0
34,0.0785139375,-0.0042691081,0.9154534424,1.0227216141,0.940375803,0.9845364769,1.0204188463,41.84,0
35,0.0582845594,0.0105604252,0.8851676733,1.0030169173,0.9797997709,0.9818693471,0.9740865748,89.39,0
36,1.182574509,1.1124566865,1.0730035695,1.0559077047,1.0006412771,0.9900019068,0.992771058,57.15,0
37,0.1434417484,1.0347401319,0.9911497411,0.9490665038,0.9766927736,0.967108448,1.0085185876,85.28,0
38,1.0790182529,0.9621333782,0.9669328573,0.9186015176,0.9496957038,0.9614017503,0.9926861597,88.72,0
39,1.0564109505,0.9893060387,0.9598360666,0.94435482,0.9375067828,0.9621041131,0.9841992759,78.06,0
40,1.1554294717,1.0280823179,0.9988610992,0.9777463178,0.9328682619,0.9537196573,0.9938860294,89.76,0
41,1.039802997,1.0073040853,0.9774975643,0.9340827642,0.9518174247,0.9798095085,0.9839358899,88.78,0
42,-0.0390628334,-0.0372337637,1.0384421691,1.0258581691,0.9721274154,0.9571583084,0.9856186341,91.61,0
43,-0.0403066009,0.9689375178,0.9706641596,0.9482617131,0.9517881596,0.9569388201,0.9945444946,89.43,0
44,-0.0346364846,1.008738076,0.9927885876,0.9579192015,0.946110727,0.9603482061,0.9473983921,87.99,0
45,0.9004278804,0.9618114619,0.975917248,0.9833505876,0.9764001224,0.9718640294,1.0121328295,81.42,0
46,-0.023113345,0.114176632,1.0169323086,0.9669182247,0.9649135643,0.9827360201,0.968235155,87.98,0
47,0.3441183649,0.9540093629,1.0261272852,0.955548727,0.9547439363,0.9807606248,0.9669182247,88.03,0
48,0.7668326243,0.9669913875,0.9759611457,0.9589581131,0.9669621224,0.9858381224,0.9961833411,46.65,0
49,-0.0155886335,1.0603884871,1.0301749686,0.9708755174,0.9465167716,0.9417317599,0.9572432935,77.16,0
50,0.4939500682,0.5076256608,0.9710779046,0.962765573,0.9471239333,0.9443772498,0.9603513827,46.4,0
51,0.0087469932,0.9643560026,1.0414753262,1.0312705008,1.0436620745,1.0407464101,1.0181500109,43.46,0
52,0.205116991,0.9955536118,1.0324367665,1.0420584591,1.0535753335,1.0454114731,1.0185873606,95.45,0
53,0.0602053748,1.0611112985,1.0386318625,1.0032574703,1.0070739147,0.960495945,0.9727837396,54.62,1
54,-0.0109264997,-0.0294304728,1.0328493709,1.038096982,0.9902468642,0.9729572144,0.9710779046,0,0
55,-0.0192388314,1.0502691268,1.022122849,0.9773374518,0.9591226033,0.9590503221,0.9987326706,46.09,0
56,0.0197207057,-0.0252020258,0.6286965782,1.0001060123,0.9798672918,0.9497549669,0.9902757767,49.09,0
