,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType,IC50,IC50 * purity,Mean Widltype,Fitness
56,-0.0013180903,0.8201380866,0.88971028,0.9784234567,0.9788819303,0.974182627,0.9803719184,1.0059313957,86.9,0,75.96,66.01,97.54,1.48
57,0.0363499045,0.0147010695,0.0065449971,0.0050346139,0.0009062288,0.7785525586,1.0103461962,1.025349312,93.19,0,4.31,4.01,97.54,24.30
58,1.0138399461,0.9812888656,0.9709733799,0.9181351799,0.9765895622,0.9732656797,0.9765895622,0.988968145,89.52,0,1077.01,964.14,97.54,0.10
59,1.0496002736,1.045932553,1.0217484965,0.9295968428,0.9761311569,0.9691394855,0.979340404,0.9959597482,89.42,0,1276.08,1141.07,97.54,0.09
60,1.0334824972,0.9862453067,0.9830669294,0.9853685648,0.9980820086,0.9924925094,1.0032331696,1.0346880909,85.39,0,1117.37,954.12,97.54,0.10
61,0.0933261923,0.0365973994,0.0231764725,0.0221614441,0.0071615873,0.6925311175,1.0098965189,1.0053852739,93.14,0,4.19,3.90,97.54,24.99
62,0.9276792893,0.9074914799,0.9160628251,0.9760622555,0.9957989203,1.009107056,1.0118137761,1.0137311006,84.66,0,589.82,499.34,97.54,0.20
63,1.0246708478,1.0341444018,1.013843833,1.0026785538,0.987114762,1.0000845661,0.997152314,1.003355217,95.65,0,1191.69,1139.85,97.54,0.09
64,1.0278286991,0.9919643924,0.981137391,0.9954605887,0.9855358364,0.9882426237,0.9983929081,0.9851975047,90.24,0,1416.91,1278.62,97.54,0.08
65,0.0115600436,0.0124622909,0.0007330767,0.0023120107,-0.0008458574,0.0015225437,0.9827163167,0.9827163167,92.91,0,2.43,2.26,97.54,43.20
66,0.6082837907,0.9944455267,0.982377985,0.9911748758,0.9865508984,0.9848591731,0.9998590341,0.99591172,94.44,0,133.82,126.38,97.54,0.77
67,1.0387684463,1.001889091,0.9927538014,0.9827163167,0.9788818021,0.9901598809,0.9884681557,0.9955733883,77.4,0,1470.40,1138.09,97.54,0.09
68,0.0387402391,0.0045676248,0.0007330767,0.0020864451,-0.000169169,0.0027631336,0.9723405003,0.9889192869,92.82,0,2.39,2.22,97.54,44.01
69,0.037161305,0.0118983853,0.0018608837,0.0020864451,-0.0002819518,0.0024247893,0.9722277007,0.9936560639,93.67,0,2.34,2.19,97.54,44.49
70,1.0276167282,1.0288035428,1.0053407471,1.0277993486,1.0193089176,1.025151789,1.0186698552,1.0258821615,78.01,0,1139.66,889.05,97.54,0.11
71,0.003112751,0.0206501797,5.63924527762837E-005,0.0018608837,0.0011841995,0.003327035,0.9762878144,0.9826035843,92.37,0,2.41,2.22,97.54,43.91
72,0.0084904378,0.0074861926,0.011137994,0.3159720645,0.8252157108,1.0116401693,1.0134660462,1.0530880211,92.86,0,12.42,11.53,97.54,8.46
73,-0.00037222,0.0019674588,0.0005849217,0.0017547611,0.922631089,0.9607040232,0.9547485031,0.9649579933,82.95,0,9.96,8.26,97.54,11.81
74,0.001861108,0.0046261822,-0.0002658731,0.0006912686,-0.0007976194,0.6836647665,0.9344358259,0.9760182903,94.83,0,4.42,4.19,97.54,23.29
75,0.0182388596,0.0063277679,0.0005849217,0.0012230148,-0.00037222,0.8636073409,0.938158026,0.9629373433,85.52,0,4.49,3.84,97.54,25.40
76,0.0422737448,0.0180261659,0.8473359638,1.0114325011,0.9669786434,0.9494310563,0.9421993261,0.9619802333,91.49,0,36.59,33.48,97.54,2.91
77,0.9920769973,0.9770817669,0.9664468734,0.9668722767,0.9598532165,0.9552802097,0.9367755127,0.9577262631,79.68,0,1163.21,926.85,97.54,0.11
78,0.9902690806,0.9833563871,0.9664468734,0.9646389567,0.9609167566,0.9678293867,0.9579389331,0.9752738502,89.32,0,1167.36,1042.69,97.54,0.09
79,0.0364245454,0.0246197989,0.0082420512,0.0019674588,-0.0004785708,0.0079230027,0.9336913859,0.9592151432,91.71,0,2.33,2.14,97.54,45.61
80,0.0013293617,0.0056896747,0.9903753839,0.9898436773,0.9659151033,0.9540040631,0.9426246661,0.9629373433,88.34,0,50.30,44.43,97.54,2.20
81,1.0133468479,0.9888865039,0.9708072101,0.9465595995,0.9564500531,0.9561310164,0.9494310563,0.9632563799,92.28,0,1125.18,1038.32,97.54,0.09
82,-5.31754187415658E-005,0.0027118988,-0.00037222,0.0017547611,0.6205997816,0.9679357534,0.9498563963,0.9687865601,93.26,0,8.50,7.93,97.54,12.30
83,-0.0045198353,0.0009039663,0.0009039663,0.0035626936,-0.0028182497,0.9655960667,0.9992023608,0.9709135134,93.98,0,4.78,4.49,97.54,21.72
84,0.003926999,0.0084581487,0.0031214585,0.0033228427,0.6870232893,1.0477029822,0.9891000845,1.0113530458,85.68,0,8.42,7.21,97.54,13.53
85,0.9975392587,1.0045067776,1.0021842713,0.9855948839,0.9918988485,0.9760836299,0.9756412383,0.9957696924,89.77,0,1189.75,1068.04,97.54,0.09
86,0.0019538604,0.5924260472,0.9748670696,0.986147824,0.9840465464,0.9792909194,0.9745352924,1.0000829278,91.92,0,67.44,61.99,97.54,1.57
87,0.0023962479,0.0010690937,0.0001843271,0.0009585,0.6024902412,0.9771895759,0.9779637447,0.9962120839,90.85,0,8.44,7.67,97.54,12.72
88,0.001208307,0.0021145376,0.0015103851,0.0013089972,0.8426935493,0.9944368197,1.0142731258,1.0243423423,92.37,0,9.14,8.44,97.54,11.55
89,0.9246564499,0.9202326529,0.959051851,0.9434578479,0.967457159,0.9859266216,1.0405611306,0.9675677075,96.78,0,509.59,493.18,97.54,0.20
90,0.9798438594,0.9779637447,0.9617061345,0.9693372738,0.9640286408,0.9498723741,0.9673465446,0.9912352941,39.53,0,874.07,345.52,97.54,0.28
91,0.9079564482,0.9740929008,0.964360418,0.9601577969,0.9588306222,0.9516418745,0.9600471826,0.9715491657,84.45,0,171.88,145.15,97.54,0.67
92,0.9821664316,0.9644710324,0.9586094594,0.9592730138,0.9606001885,0.9544067724,0.9589412366,0.9907929025,94.86,0,900.16,853.90,97.54,0.11
93,0.9849313295,0.9635862492,0.9608213513,0.9606001885,0.957061106,0.9538538324,0.959604791,0.985041878,91.22,0,953.08,869.40,97.54,0.11
94,0.0157783623,0.0093637957,0.9601577969,0.969669051,0.9718809429,0.9634757008,0.9656875927,0.9810604197,94.28,0,43.29,40.81,97.54,2.39
95,-0.0003686542,1.0652240488,1.0626803137,1.0085988503,0.9805074797,0.9800650881,1.0346994917,0.9956591439,90.3,0,98.28,88.74,97.54,1.10
96,0.0088609171,0.0036249209,0.0007048446,0.002618,-0.0001006921,0.9786280322,1.0043046183,1.0075267051,89.09,0,4.79,4.27,97.54,22.85
